id,name,brand,category,image,price,description,isNew,trending,upcomingRelease,releaseDate
28,StyleCraft Pro Brushless Saber Trimmer (Black),StyleCraft,Trimmers,saber-trimmer-black,179.00,"Brushless motor Saber trimmer in all-black. Longer battery life and quieter operation than the standard Saber.",true,true,false,
29,Omni Arcane Clipper,Omni,Clippers,omni-arcane,259.00,"Omni's Arcane clipper — stealth look with modern cordless performance. Cult favourite among forward-thinking barbers.",true,true,false,
30,StyleCraft Instinct Clipper,StyleCraft,Clippers,instinct,239.00,"StyleCraft Instinct — a next-gen cordless clipper with precision blade and pro-grade runtime.",false,true,false,
31,Gamma+ Boosted Clipper,Gamma+,Clippers,gamma-boosted,219.00,"The original Gamma+ Boosted clipper — super-torque magnetic motor at a barber-friendly price.",false,true,false,
32,Wahl Senior 2.0 Cordless Clipper,Wahl,Clippers,wahl-senior-2,219.00,"The updated Wahl Senior 2.0 cordless. Stronger motor, longer runtime — the iconic Senior reimagined.",true,true,false,
33,BaByliss PRO Cordless Super Motor Collection,BaByliss PRO,Clippers,babyliss-super-collection,549.00,"The full BaByliss PRO Super Motor collection — clipper, trimmer and skeleton in one premium bundle.",true,false,false,
34,Gamma+ Boosted Super Torque Motor Trimmer,Gamma+,Trimmers,gamma-boosted-trimmer,179.00,"Trimmer sibling to the Boosted clipper. Super-torque motor for effortless detail work.",false,true,false,
35,Wahl Magic Clip Cordless (Gold),Wahl,Clippers,magic-clip-gold,169.00,"The iconic Magic Clip dressed in gold. Same legendary performance, premium gold finish.",false,false,false,
36,StyleCraft Saber 2.0 Brushless Clipper (Black),StyleCraft,Clippers,saber-2-black,239.00,"StyleCraft Saber 2.0 — brushless motor clipper in black. The successor to the popular original.",true,true,false,
37,StyleCraft Pro Brushless Saber Trimmer (White),StyleCraft,Trimmers,saber-trimmer-white,179.00,"Brushless motor Saber trimmer in clean white finish. Matches the Saber 2.0 clipper perfectly.",true,false,false,
38,BaByliss PRO Boost+ Chameleon Skeleton FX Trimmer,BaByliss PRO,Trimmers,babyliss-chameleon,189.00,"Boost+ Chameleon edition Skeleton FX. Colour-shift finish on the beloved skeleton trimmer body.",true,true,false,
39,StyleCraft Pro Metal Edition Instinct Clipper,StyleCraft,Clippers,instinct-metal,279.00,"Instinct clipper in full metal body. Weightier feel, premium look, same cordless performance.",true,false,false,
40,Omni Arcane Anomaly Clipper & Trimmer Combo,Omni,Clippers,omni-anomaly,479.00,"Omni's Arcane Anomaly set — matching clipper and trimmer in a presentation box.",true,true,false,
41,StyleCraft Rebel Clipper,StyleCraft,Clippers,stylecraft-rebel,189.00,"StyleCraft Rebel — a punchy mid-range clipper built for high-volume barbershops.",false,true,false,
